rank,player,club,nationality,points,year,percent,position
1.0,Stanley Matthews,Blackpool,England,47.0,1956,19.5833,
2.0,Alfredo Di Stéfano,Real Madrid,Spain,44.0,1956,18.3333,
3.0,Raymond Kopa,Reims~~~Real Madrid,France,33.0,1956,13.75,
4.0,Ferenc Puskás,Budapest Honvéd,Hungary,32.0,1956,13.3333,
5.0,Lev Yashin,Dynamo Moscow,Soviet Union,19.0,1956,7.9167,
6.0,József Bozsik,Budapest Honvéd,Hungary,15.0,1956,6.25,
7.0,Ernst Ocwirk,Austria Wien~~~Sampdoria,Austria,9.0,1956,3.75,
8.0,Sándor Kocsis,Budapest Honvéd,Hungary,6.0,1956,2.5,
9.0,Thadée Cisowski,RC Paris,France,4.0,1956,1.6667,
9.0,Ivan Kolev,CDNA Sofia,Bulgaria,4.0,1956,1.6667,
9.0,Billy Wright,Wolverhampton Wanderers,England,4.0,1956,1.6667,
12.0,Júlio Botelho,Fiorentina,Italy,3.0,1956,1.25,
13.0,Stefan Bozhkov,CDNA Sofia,Bulgaria,2.0,1956,0.8333,
13.0,Duncan Edwards,Manchester United,England,2.0,1956,0.8333,
13.0,Gerhard Hanappi,Rapid Wien,Austria,2.0,1956,0.8333,
13.0,Robert Jonquet,Reims,France,2.0,1956,0.8333,
13.0,Miguel Montuori,Fiorentina,Italy,2.0,1956,0.8333,
13.0,Pepillo,Sevilla,Spain,2.0,1956,0.8333,
13.0,Juan Alberto Schiaffino,Milan,Italy,2.0,1956,0.8333,
13.0,Eduard Streltsov,Torpedo Moscow,Soviet Union,2.0,1956,0.8333,
21.0,Marcelino Campanal,Sevilla,Spain,1.0,1956,0.4167,
21.0,Břetislav Dolejší,Dukla Prague,Czechoslovakia,1.0,1956,0.4167,
21.0,Roger Piantoni,FC Nancy,France,1.0,1956,0.4167,
21.0,Kees Rijvers,Saint-Étienne,Netherlands,1.0,1956,0.4167,
1.0,Alfredo Di Stéfano,Real Madrid,Spain,72.0,1957,29.8755,
2.0,Billy Wright,Wolverhampton Wanderers,England,19.0,1957,7.8838,
3.0,Duncan Edwards,Manchester United,England,16.0,1957,6.639,
3.0,Raymond Kopa,Real Madrid,France,16.0,1957,6.639,
5.0,László Kubala,Barcelona,Hungary,15.0,1957,6.2241,
6.0,John Charles,Leeds United~~~Juventus,Wales,14.0,1957,5.8091,
7.0,Eduard Streltsov,Torpedo Moscow,Soviet Union,12.0,1957,4.9793,
8.0,Tommy Taylor,Manchester United,England,10.0,1957,4.1494,
9.0,József Bozsik,Budapest Honvéd,Hungary,9.0,1957,3.7344,
9.0,Igor Netto,Spartak Moscow,Soviet Union,9.0,1957,3.7344,
11.0,Lev Yashin,Dynamo Moscow,Soviet Union,8.0,1957,3.3195,
12.0,Paco Gento,Real Madrid,Spain,7.0,1957,2.9046,
12.0,Gyula Grosics,Budapest Honvéd~~~Tatabánya,Hungary,7.0,1957,2.9046,
14.0,Danny Blanchflower,Tottenham Hotspur,Northern Ireland,4.0,1957,1.6598,
14.0,Miloš Milutinović,Partizan,Yugoslavia,4.0,1957,1.6598,
14.0,Juan Alberto Schiaffino,Milan,Italy,4.0,1957,1.6598,
17.0,Gerhard Hanappi,Rapid Wien,Austria,3.0,1957,1.2448,
17.0,Johnny Haynes,Fulham,England,3.0,1957,1.2448,
17.0,Stanley Matthews,Blackpool,England,3.0,1957,1.2448,
20.0,Sándor Kocsis,Young Fellows Zürich,Hungary,2.0,1957,0.8299,
20.0,Horst Szymaniak,Wuppertaler SV,West Germany,2.0,1957,0.8299,
22.0,Kurt Hamrin,Padova,Sweden,1.0,1957,0.4149,
22.0,Ladislav Novák,Dukla Prague,Czechoslovakia,1.0,1957,0.4149,
1.0,Raymond Kopa,Real Madrid,France,71.0,1958,29.5833,
2.0,Helmut Rahn,Rot-Weiss Essen,West Germany,40.0,1958,16.6667,
3.0,Just Fontaine,Reims,France,23.0,1958,9.5833,
4.0,John Charles,Juventus,Wales,15.0,1958,6.25,
4.0,Kurt Hamrin,Padova~~~Fiorentina,Sweden,15.0,1958,6.25,
6.0,Billy Wright,Wolverhampton Wanderers,England,9.0,1958,3.75,
7.0,Johnny Haynes,Fulham,England,7.0,1958,2.9167,
8.0,Harry Gregg,Manchester United,Northern Ireland,6.0,1958,2.5,
8.0,Nils Liedholm,Milan,Sweden,6.0,1958,2.5,
8.0,Horst Szymaniak,Wuppertaler SV,West Germany,6.0,1958,2.5,
11.0,Colin McDonald,Burnley,England,5.0,1958,2.0833,
12.0,Paco Gento,Real Madrid,Spain,4.0,1958,1.6667,
12.0,Gunnar Gren,Örgryte IS,Sweden,4.0,1958,1.6667,
14.0,Vujadin Boškov,Vojvodina,Yugoslavia,3.0,1958,1.25,
14.0,Bengt Gustavsson,Atalanta,Sweden,3.0,1958,1.25,
14.0,Valentin Ivanov,Torpedo Moskva,Soviet Union,3.0,1958,1.25,
14.0,Luis Suárez,Barcelona,Spain,3.0,1958,1.25,
